#numMotions
8
#motionIndex
0 0
#motionName
rest rest
#numFrames
799 799
#minListSize
138
#i j distance theta x0 z0
586 57 256.485 1.84459 -0.533638 0.142593
0 58 256.576 1.70205 -0.584273 0.327309
200 59 256.765 1.63966 -0.630759 0.426399
230 59 257.177 1.62345 -0.635837 0.451356
218 59 257.442 1.63049 -0.633678 0.44068
174 59 258.37 1.65408 -0.624573 0.40462
159 59 258.439 1.65876 -0.622246 0.39718
364 58 260.063 1.80163 -0.559343 0.206156
81 59 260.115 1.66905 -0.613984 0.378065
66 59 260.122 1.67755 -0.608899 0.365321
72 59 260.125 1.67357 -0.611216 0.371235
76 59 260.146 1.67129 -0.612552 0.374652
101 59 260.444 1.66456 -0.617407 0.385485
120 59 260.604 1.66698 -0.6173 0.383231
42 58 261.06 1.69074 -0.591238 0.344928
223 120 278.883 1.3002 -1.43835 0.683218
233 120 279.041 1.30058 -1.43683 0.683816
303 120 279.79 1.3086 -1.43151 0.684921
176 120 283.041 1.32174 -1.42541 0.666899
170 120 283.124 1.32283 -1.42461 0.665989
144 120 284.151 1.32491 -1.42282 0.662977
116 120 284.632 1.32837 -1.41912 0.659152
105 120 284.689 1.32805 -1.41878 0.658724
17 120 289.58 1.3596 -1.38932 0.635672
25 120 289.691 1.35747 -1.39137 0.637183
29 120 289.709 1.35673 -1.39219 0.637767
380 121 289.89 1.46838 -1.33392 0.585255
759 121 290.126 1.41922 -1.36467 0.603745
425 122 290.348 1.49863 -1.32332 0.568833
696 122 292.314 1.44811 -1.35901 0.595746
699 122 292.355 1.44693 -1.35981 0.59624
519 122 293.899 1.49369 -1.32135 0.569807
499 122 294.541 1.4947 -1.32101 0.569963
488 122 294.631 1.49912 -1.31863 0.567134
558 122 294.639 1.49137 -1.32333 0.569166
572 122 294.645 1.49119 -1.32388 0.56913
549 122 294.669 1.49246 -1.3224 0.568704
584 122 294.773 1.49144 -1.32424 0.56887
601 122 294.923 1.49007 -1.32595 0.569634
610 122 294.979 1.48874 -1.32743 0.57055
624 122 295.468 1.4847 -1.33102 0.573372
634 122 295.647 1.4811 -1.3342 0.575889
727 192 328.372 1.70734 -1.95488 0.523715
754 192 328.984 1.69131 -1.96239 0.518011
478 191 329.025 1.78277 -1.89344 0.525592
488 191 329.142 1.77688 -1.89633 0.526131
695 191 330.171 1.72197 -1.93616 0.525691
643 191 330.488 1.75272 -1.9154 0.525082
651 191 330.493 1.74756 -1.91891 0.525455
654 191 330.507 1.74577 -1.92016 0.525557
663 191 330.703 1.74066 -1.9238 0.525798
666 191 330.732 1.73895 -1.92504 0.525862
634 191 330.77 1.75834 -1.91139 0.524536
506 191 330.819 1.77133 -1.89905 0.526302
620 191 331.364 1.76509 -1.90627 0.523749
225 254 331.367 1.30161 -2.80706 0.33457
307 254 331.374 1.31863 -2.80024 0.354901
614 191 331.389 1.76711 -1.90462 0.523528
233 254 331.467 1.30261 -2.80565 0.335995
200 194 331.595 1.57581 -2.05277 0.522357
531 191 331.642 1.77096 -1.89915 0.524819
536 191 331.694 1.77078 -1.89928 0.524468
596 191 331.825 1.77012 -1.90163 0.523211
240 194 331.83 1.55827 -2.05876 0.524698
230 194 331.859 1.56049 -2.05869 0.524306
234 194 331.868 1.55939 -2.05885 0.524492
574 191 331.918 1.76905 -1.90126 0.523543
551 191 331.951 1.77 -1.9 0.523804
546 191 331.96 1.77024 -1.89972 0.524002
578 191 331.965 1.76949 -1.9012 0.523475
218 194 332.384 1.56731 -2.05611 0.523635
418 191 332.421 1.77291 -1.90367 0.527579
429 191 332.433 1.77903 -1.89909 0.52735
0 192 332.511 1.62969 -1.99138 0.510139
412 191 332.601 1.77048 -1.90551 0.527335
174 193 333.495 1.58438 -2.03785 0.520095
159 193 333.637 1.58872 -2.03517 0.519251
155 193 333.675 1.59017 -2.03427 0.519012
176 254 335.319 1.32431 -2.80105 0.348547
170 254 335.372 1.32535 -2.80063 0.349102
166 254 335.446 1.32533 -2.80059 0.348867
379 192 335.533 1.75287 -1.92727 0.527003
363 192 335.55 1.72566 -1.94345 0.528193
81 193 335.91 1.59843 -2.02592 0.514649
72 193 335.964 1.60284 -2.02259 0.514201
101 193 336.237 1.59403 -2.02989 0.515739
144 254 336.355 1.32696 -2.79968 0.348577
120 193 336.361 1.5965 -2.02943 0.516898
116 254 336.726 1.33077 -2.79692 0.349801
105 254 336.859 1.33069 -2.79638 0.349117
338 192 337.239 1.66107 -1.98132 0.531573
42 192 337.257 1.61869 -2.00014 0.511839
33 192 337.418 1.61992 -1.99872 0.511592
374 255 339.754 1.46392 -2.74578 0.465627
380 255 339.851 1.46768 -2.74375 0.469023
426 256 339.895 1.4987 -2.73621 0.496011
759 255 341.252 1.42035 -2.76618 0.419775
17 254 341.619 1.36231 -2.77597 0.369732
29 254 341.834 1.35915 -2.7782 0.367623
696 256 342.722 1.44843 -2.76638 0.451829
519 255 343.838 1.50012 -2.71903 0.495519
514 255 344.022 1.49982 -2.71923 0.4956
507 256 344.22 1.4939 -2.734 0.49067
488 256 344.31 1.49942 -2.73151 0.495143
499 256 344.403 1.49507 -2.73351 0.491786
572 256 344.514 1.49163 -2.73607 0.486043
558 256 344.551 1.49178 -2.73555 0.48631
549 256 344.607 1.49296 -2.73466 0.487461
587 256 344.619 1.49196 -2.73654 0.486147
601 256 344.771 1.49038 -2.73812 0.484872
609 256 344.81 1.4891 -2.73939 0.483939
624 256 345.424 1.48469 -2.74289 0.480789
634 256 345.733 1.48129 -2.74562 0.478373
727 325 353.14 1.6945 -3.36503 0.759325
242 327 353.223 1.5417 -3.4893 0.543236
200 327 353.549 1.56043 -3.48223 0.567675
754 325 353.713 1.67972 -3.37513 0.732705
757 325 353.723 1.67778 -3.37632 0.729493
488 324 354.308 1.764 -3.28722 0.858963
